cohort_rank,proxyWallet,name,pseudonym,profit_all,volume_all,lb_sources,profit_best,volume_best,rank_key
1,0x56687bf447db6ffa42ffe2204a05edaa20f55839,Theo4,Theo4,22053933.752321757,,profit:all,22053933.752321757,,22053933.752321757
2,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,Fredi9999,Fredi9999,16619506.631730152,,profit:all,16619506.631730152,,16619506.631730152
3,0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,kch123,kch123,11364283.506714558,293637557.87261105,"profit:all,volume:all",11364283.506714558,293637557.87261105,11364283.506714558
4,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,RN1,10042003.084419979,727817520.351681,"profit:30d,profit:7d,profit:all,volume:30d,volume:all",10042003.084419979,727817520.351681,10042003.084419979
5,0x96cfcb0c30942cfcd1cdf76c7d408794d66b1acb,mintblade,mintblade,9238344.623225637,,"profit:30d,profit:all",9238344.623225637,,9238344.623225637
6,0xed64a7bf029040aa331abc87902434d815ef217d,fishalive,fishalive,9063378.17620066,,"profit:30d,profit:all",9063378.17620066,,9063378.17620066
7,0xbc11a64ab34a03a043fbe80598fa065ee87eeec6,frostrizz,frostrizz,8928561.117991824,,"profit:30d,profit:all",8928561.117991824,,8928561.117991824
8,0x78b9ac44a6d7d7a076c14e0ad518b301b63c6b76,Len9311238,Len9311238,8709972.988069998,,profit:all,8709972.988069998,,8709972.988069998
9,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,swisstony,8500718.179898238,1110447680.9549994,"profit:all,volume:30d,volume:all",8500718.179898238,1110447680.9549994,8500718.179898238
10,0xd235973291b2b75ff4070e9c0b01728c520b0f29,zxgngl,zxgngl,7807265.589240883,,profit:all,7807265.589240883,,7807265.589240883
11,0x3f87d51f27ba6e19ec52aaeebb68559a839c742c,GRIMDRIP,GRIMDRIP,7602742.057861,,"profit:30d,profit:all",7602742.057861,,7602742.057861
12,0x863134d00841b2e200492805a01e1e2f5defaa53,RepTrump,RepTrump,7532409.671579,,profit:all,7532409.671579,,7532409.671579
13,0x5e4c3b5b81171e2ca4ab776ac0d6bba787f9dba2,endlessFate,endlessFate,7409836.652610293,,"profit:30d,profit:all",7409836.652610293,,7409836.652610293
14,0x8119010a6e589062aa03583bb3f39ca632d9f887,PrincessCaro,PrincessCaro,6083643.099591745,,profit:all,6083643.099591745,,6083643.099591745
15,0xe9ad918c7678cd38b12603a762e638a5d1ee7091,walletmobile,walletmobile,5942685.45339684,,profit:all,5942685.45339684,,5942685.45339684
16,0x94f199fb7789f1aef7fff6b758d6b375100f4c7a,KeyTransporter,KeyTransporter,5711459.802519929,,profit:all,5711459.802519929,,5711459.802519929
17,0x885783760858e1bd5dd09a3c3f916cfa251ac270,BetTom42,BetTom42,5642135.735356,,profit:all,5642135.735356,,5642135.735356
18,0x23786fdad0073692157c6d7dc81f281843a35fcb,mikatrade77,mikatrade77,5147998.544602999,,profit:all,5147998.544602999,,5147998.544602999
19,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,gmanas,gmanas,4955880.748691757,529047708.5059911,"profit:all,volume:all",4955880.748691757,529047708.5059911,4955880.748691757
20,0xd0c042c08f755ff940249f62745e82d356345565,alexmulti,alexmulti,4804855.613376001,,profit:all,4804855.613376001,,4804855.613376001
